,Code,Movie,Audience,Screen,genres,year,month,AgeRate
173,20183745,런닝맨 : 풀룰루의 역습,186.064,36,애니메이션,2015,10,전체관람가
174,20183650,번개맨의 비밀,49.367,113,가족,2015,10,전체관람가
175,20184481,성난황소,1590.591,98,범죄,2015,10,청소년관람가
176,20184529,트와이스랜드,17.823,10,다큐멘터리,2015,10,전체관람가
177,20182981,리벤져,2.322,45,액션,2015,10,청소년관람가
178,20183050,번 더 스테이지: 더 무비,312.584,57,기타,2015,10,전체관람가
179,20181561,덕구,315.164,4,드라마,2015,10,전체관람가
180,20189869,해피 투게더,24.827,5,드라마,2015,10,청소년관람가
181,20173202,버닝,528.372,1,미스터리,2015,10,18세이상관람가
182,20170513,동네사람들,459.918,28,액션,2015,10,청소년관람가
183,20176122,안시성,5439.308,1,사극,2015,10,청소년관람가
184,20189746,극장판 뽀잉: 슈퍼 변신의 비밀,40.892,3,애니메이션,2015,10,전체관람가
185,20179006,여곡성,66.455,40,공포(호러),2015,10,청소년관람가
186,20101125,로맨스그레이,1.115,1,드라마,2015,10,청소년관람가
187,20189067,미쓰백,721.183,6,드라마,2015,10,청소년관람가
188,20179189,암수살인,3786.412,63,범죄,2015,10,청소년관람가
189,20020106,복수는 나의 것,1.918,8,범죄,2015,10,18세이상관람가
190,20050148,친절한 금자씨,3121.204,9,스릴러,2015,10,18세이상관람가
191,20177308,협상,1967.721,4,범죄,2015,10,청소년관람가
192,20172469,허스토리,335.54,2,드라마,2015,10,청소년관람가
193,19760096,금욕,0.285,1,드라마,2015,10,청소년관람가
194,20184678,배반의 장미,40.208,57,코미디,2015,10,청소년관람가
195,20179101,공작,4974.34,1,드라마,2015,10,청소년관람가
196,20172204,명당,2084.319,4,사극,2015,10,청소년관람가
197,20167903,원더풀 고스트,448.316,9,코미디,2015,10,청소년관람가
198,20153446,너의 결혼식,2820.486,7,멜로/로맨스,2015,10,청소년관람가
199,20177537,상류사회,767.589,5,드라마,2015,10,18세이상관람가
200,20156554,물괴,719.968,90,액션,2015,10,청소년관람가
201,20170670,목격자,2522.729,64,스릴러,2015,10,청소년관람가
202,20188501,미친도시,1.992,2,드라마,2015,10,청소년관람가
203,20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,677.788,6,애니메이션,2015,10,전체관람가
204,20179383,독전,5063.62,1,범죄,2015,10,청소년관람가
205,20170942,인랑,897.255,5,SF,2015,10,청소년관람가
206,20185341,마녀,3188.969,1,미스터리,2015,10,청소년관람가
207,20178161,탐정: 리턴즈,3152.568,5,코미디,2015,10,청소년관람가
208,20174369,변산,489.619,3,드라마,2015,10,청소년관람가
209,20162442,청년경찰,5653.444,1,액션,2015,10,청소년관람가
210,20188042,독전: 익스텐디드 컷,136.885,53,범죄,2015,10,청소년관람가
211,20187682,해적왕 작스톰,4.434,63,애니메이션,2015,10,전체관람가
212,20180282,속닥속닥,217.326,10,공포(호러),2015,10,청소년관람가
213,20184101,여중생A,96.893,12,드라마,2015,10,청소년관람가
214,20170669,지금 만나러 갑니다,2601.857,15,멜로/로맨스,2015,10,청소년관람가
215,20159647,리얼,470.135,1,액션,2015,10,18세이상관람가
216,20186926,게이트-완결판,0.771,5,범죄,2015,10,청소년관람가
217,20177005,레슬러,770.631,6,드라마,2015,10,청소년관람가
218,20189783,챔피언,1128.693,1,드라마,2015,10,청소년관람가
219,20100510,자유부인,2.278,1,드라마,2015,10,18세이상관람가
220,20181366,미니특공대X,99.971,1,애니메이션,2015,10,전체관람가
221,20173865,데자뷰,48.134,19,미스터리,2015,10,청소년관람가
222,20162869,택시운전사,12189.025,2,드라마,2015,10,청소년관람가
223,20151230,원라인,435.09,1,범죄,2015,10,청소년관람가
224,20177266,나를 기억해,140.7,2,미스터리,2015,10,18세이상관람가
225,20174602,노무현입니다,1855.489,1,다큐멘터리,2015,10,청소년관람가
226,20182221,스파키,35.432,1,애니메이션,2015,10,전체관람가
227,20153447,바람 바람 바람,1194.157,6,코미디,2015,10,18세이상관람가
228,20182021,번개맨과 신비의 섬,60.535,9,가족,2015,10,전체관람가
229,20175046,파파 오랑후탄,1.447,3,다큐멘터리,2015,10,청소년관람가
230,20165045,머니백,53.516,5,액션,2015,10,청소년관람가
231,20150976,신과함께-죄와 벌,14410.754,1,판타지,2015,10,청소년관람가
232,20154908,7년의 밤,526.88,12,스릴러,2015,10,청소년관람가
233,20168323,염력,990.102,18,드라마,2015,10,청소년관람가
234,20150969,궁합,1339.68,1,코미디,2015,10,청소년관람가
235,20178781,사라진 밤,1314.308,126,스릴러,2015,10,청소년관람가
236,20172244,치즈인더트랩,228.413,62,멜로/로맨스,2015,10,청소년관람가
237,20189525,젝스키스 에이틴,50.038,3,다큐멘터리,2015,10,전체관람가
238,20189663,게이트,99.731,20,범죄,2015,10,청소년관람가
239,20168250,골든슬럼버,1386.882,13,범죄,2015,10,청소년관람가
240,20177473,비밥바룰라,45.779,1,코미디,2015,10,청소년관람가
241,20176121,흥부: 글로 세상을 바꾼 자,416.137,7,사극,2015,10,청소년관람가
242,20179205,조선명탐정: 흡혈괴마의 비밀,2443.282,8,사극,2015,10,청소년관람가
243,20181741,예스 평창!,0.595,1,다큐멘터리,2015,10,전체관람가
244,20176104,그것만이 내 세상,3415.953,4,코미디,2015,10,청소년관람가
245,20170590,1987,7229.281,62,드라마,2015,10,청소년관람가
246,20189761,터닝메카드W: 반다인의 비밀 특별판,21.22,30,애니메이션,2015,10,전체관람가
247,20174846,뽀로로 극장판 공룡섬 대모험,826.003,2,애니메이션,2015,10,전체관람가
248,20168161,1급기밀,217.956,20,드라마,2015,10,청소년관람가
249,20161681,미옥,239.987,3,범죄,2015,10,18세이상관람가
250,20170402,강철비,4449.854,37,액션,2015,10,청소년관람가
251,20175830,돌아와요 부산항애(愛),5.824,82,범죄,2015,10,청소년관람가
252,20172742,범죄도시,6880.351,10,범죄,2015,10,18세이상관람가
253,20173581,기억의 밤,1387.499,6,미스터리,2015,10,청소년관람가
254,20010047,번지점프를 하다,4.055,1,드라마,2015,10,청소년관람가
255,20176769,광인옥한흠,2.681,5,다큐멘터리,2015,10,전체관람가
256,20165748,꾼,4018.035,5,범죄,2015,10,청소년관람가
257,20175441,채비,177.428,1,드라마,2015,10,청소년관람가
258,20138712,꼭두각시,32.628,1,공포(호러),2015,10,18세이상관람가
259,20161762,반드시 잡는다,446.764,3,스릴러,2015,10,청소년관람가
260,20168754,7호실,346.986,5,코미디,2015,10,청소년관람가
261,20172603,부라더,1492.049,8,코미디,2015,10,청소년관람가
262,20175208,뷰티풀 투모로우,62.65,1,드라마,2015,10,청소년관람가
263,20173903,역모-반란의 시대,21.657,355,사극,2015,10,청소년관람가
264,20171817,넛잡 2,410.569,5,애니메이션,2015,10,전체관람가
265,20169643,침묵,493.673,8,드라마,2015,10,청소년관람가
266,20165450,남한산성,3846.769,20,사극,2015,10,청소년관람가
267,20171885,노트르담 드 파리,4.974,33,뮤지컬,2015,10,전체관람가
268,20164424,대장 김창수,377.071,51,드라마,2015,10,청소년관람가
269,20154907,희생부활자,322.207,19,미스터리,2015,10,청소년관람가
270,20154909,살인자의 기억법,2657.557,20,범죄,2015,10,청소년관람가
271,20151227,아빠는 딸,647.305,2,코미디,2015,10,청소년관람가
272,20150964,조작된 도시,2515.315,1,범죄,2015,10,청소년관람가
273,20151003,장산범,1306.387,5,미스터리,2015,10,청소년관람가
274,20172964,이웃집 스타,10.747,1,코미디,2015,10,청소년관람가
275,20164174,브이아이피,1373.298,2,범죄,2015,10,18세이상관람가
276,20161481,군함도,6591.193,6,액션,2015,10,청소년관람가
277,20179407,로마의 휴일,134.577,5,코미디,2015,10,청소년관람가
278,20124074,건축학개론,4112.496,1,멜로/로맨스,2015,10,청소년관람가
279,20173826,구세주: 리턴즈,4.052,121,코미디,2015,10,청소년관람가
280,19760017,진짜 진짜 잊지마,0.207,1,드라마,2015,10,청소년관람가
281,20165042,빅뱅 메이드,56.2,1,다큐멘터리,2015,10,청소년관람가
282,20000044,공동경비구역 JSA,1.089,1,드라마,2015,10,청소년관람가
283,20080697,안녕하세요 하나님,0.199,1,드라마,2015,10,청소년관람가
284,20162343,악녀,1207.119,40,액션,2015,10,18세이상관람가
285,20100511,지옥화,3.448,1,멜로/로맨스,2015,10,미정
286,20166384,하루,1129.233,4,스릴러,2015,10,청소년관람가
287,20169348,대립군,837.31,3,드라마,2015,10,청소년관람가
288,20162722,보안관,2587.648,2,범죄,2015,10,청소년관람가
289,19560023,격퇴,0.401,1,전쟁,2015,10,청소년관람가
290,20175581,파워배틀 와치카: 와치가면의 역습,23.136,2,애니메이션,2015,10,전체관람가
291,20177223,청춘 합창단 - 또 하나의 꿈,5.041,38,다큐멘터리,2015,10,전체관람가
292,20156708,석조저택 살인사건,351.342,7,스릴러,2015,10,청소년관람가
293,20162871,특별시민,1362.434,6,드라마,2015,10,청소년관람가
294,20161726,임금님의 사건수첩,1634.038,5,코미디,2015,10,청소년관람가
295,20144444,아가씨,4288.53,1,스릴러,2015,10,18세이상관람가
296,19550028,미망인,1.195,1,드라마,2015,10,18세이상관람가
297,20173061,슈퍼 빼꼼: 스파이 대작전,98.02,10,애니메이션,2015,10,전체관람가
298,20174165,극장판 또봇: 로봇군단의 습격,141.573,4,애니메이션,2015,10,전체관람가
299,20162181,프리즌,2931.897,5,범죄,2015,10,18세이상관람가
300,19800040,미워도 다시 한번 '80,2.141,1,드라마,2015,10,청소년관람가
301,20167901,어느날,234.586,5,멜로/로맨스,2015,10,청소년관람가
302,20080893,렌의 애가,1.65,1,드라마,2015,10,청소년관람가
303,20161923,시간위의 집,128.764,14,미스터리,2015,10,청소년관람가
304,20166421,재심,2420.977,2,드라마,2015,10,청소년관람가
305,20139183,역린,3849.7,1,사극,2015,10,청소년관람가
306,20150971,해빙,1204.384,4,스릴러,2015,10,청소년관람가
307,20162381,일사각오,94.825,1,드라마,2015,10,청소년관람가
308,20159657,최강전사 미니특공대: 영웅의 탄생,117.291,1,애니메이션,2015,10,전체관람가
309,20167902,보통사람,382.202,50,드라마,2015,10,청소년관람가
