movie_result
,Unnamed: 0,Code,Movie,Audience,Open,Screen,watchGradeNm,genres,year,month,Point
106,108,20174142,아이 캔 스피크,3283073,2017-09-21,3,12세이상관람가,코미디,2017,9,9.35
107,109,20188750,나쁜 녀석들: 더 무비,4573353,2019-09-11,3,15세이상관람가,범죄,2019,9,6.6
108,110,20185361,두번할까요,175567,2019-10-17,7,15세이상관람가,코미디,2019,10,5.49
109,111,20184105,말모이,2866453,2019-01-09,1,12세이상관람가,드라마,2019,1,9.05
110,112,20030003,클래식,15240,2003-01-30,19,12세관람가,드라마,2003,1,9.35
111,113,20110279,마당을 나온 암탉,2204374,2011-07-28,28,전체관람가,애니메이션,2011,7,8.89
112,114,20186707,오늘도 위위,1114,2019-10-17,40,전체관람가,드라마,2019,10,9.4
113,115,20194456,양자물리학,552187,2019-09-25,33,15세이상관람가,범죄,2019,9,8.44
114,116,20185784,나의 특별한 형제,1476777,2019-05-01,1,12세이상관람가,드라마,2019,5,8.94
115,117,20184572,타짜: 원 아이드 잭,2227543,2019-09-11,69,청소년관람불가,범죄,2019,9,5.46
116,118,20184543,변신,1803112,2019-08-21,5,15세이상관람가,공포(호러),2019,8,7.1
117,119,20182585,비스트,203042,2019-06-26,5,15세이상관람가,범죄,2019,6,6.05
118,120,20181416,유열의 음악앨범,1240975,2019-08-28,105,12세이상관람가,멜로/로맨스,2019,8,6.2
119,121,20185985,광대들: 풍문조작단,632384,2019-08-21,199,12세이상관람가,사극,2019,8,6.15
120,122,20020061,집으로...,4975,2002-04-04,51,전체관람가,드라마,2002,4,9.34
121,123,20182490,나랏말싸미,954880,2019-07-24,3,전체관람가,사극,2019,7,3.53
122,124,20193642,캐리tv 러브콘서트 더 무비,29091,2019-08-07,22,전체관람가,공연,2019,8,8.11
123,125,20188404,암전,101366,2019-08-15,36,15세이상관람가,미스터리,2019,8,5.44
124,126,20180442,사자,1602046,2019-07-31,213,15세이상관람가,미스터리,2019,7,7.25
125,127,20194044,공포체험단 곤지암편,3282,2019-07-19,11,15세이상관람가,공포(호러),2019,7,6.4
126,128,20185353,기방도령,284283,2019-07-10,5,15세이상관람가,코미디,2019,7,5.99
127,129,20193013,극장판 샤이닝스타:새로운 루나퀸의 탄생!,15703,2019-07-18,6,전체관람가,애니메이션,2019,7,9.12
128,130,20185986,진범,166838,2019-07-10,38,15세이상관람가,스릴러,2019,7,7.43
129,131,20198453,롱 리브 더 킹: 목포 영웅,1092611,2019-06-19,7,15세이상관람가,액션,2019,6,7.86
130,132,20188941,악인전,3364100,2019-05-15,6,청소년관람불가,범죄,2019,5,8.09
131,133,20124079,"광해, 왕이 된 남자",12323988,2012-09-13,1,15세이상관람가,사극,2012,9,9.23
132,134,20187981,배심원들,287902,2019-05-15,1,12세이상관람가,드라마,2019,5,8.99
133,135,20122783,감시자들,5509019,2013-07-03,1,15세이상관람가,범죄,2013,7,7.76
134,136,20180361,귀신의 향기,543,2019-07-03,17,15세이상관람가,공포(호러),2019,7,5.96
135,137,20184082,걸캅스,1627524,2019-05-09,9,15세이상관람가,코미디,2019,5,5.63
136,138,20199448,어린 의뢰인,199375,2019-05-22,6,12세이상관람가,드라마,2019,5,9.07
137,139,20151229,더 킹,5317959,2017-01-18,1,15세이상관람가,범죄,2017,1,8.14
138,140,20188144,0.0MHz,136939,2019-05-29,26,15세이상관람가,공포(호러),2019,5,5.6
139,141,20191744,노리개: 그녀의 눈물,2287,2019-06-13,50,15세이상관람가,드라마,2019,6,7.37
140,142,20198982,크게 될 놈,102374,2019-04-18,2,15세이상관람가,드라마,2019,4,9.18
141,143,20090248,마더,2980954,2009-05-28,7,청소년관람불가,드라마,2009,5,8.06
142,144,20180825,미성년,292140,2019-04-11,8,15세이상관람가,드라마,2019,4,8.28
143,145,20175547,스윙키즈,1472702,2018-12-19,38,12세이상관람가,드라마,2018,12,8.46
144,146,20182501,왓칭,55083,2019-04-17,6,15세이상관람가,공포(호러),2019,4,6.82
145,147,20142406,탐정 홍길동: 사라진 마을,1430960,2016-05-04,1,15세이상관람가,드라마,2016,5,7.91
146,148,20137048,국제시장,14262976,2014-12-17,1,12세이상관람가,드라마,2014,12,9.05
147,149,20176103,돈,3388756,2019-03-20,20,15세이상관람가,범죄,2019,3,7.64
148,150,20175407,우상,183744,2019-03-20,2,15세이상관람가,스릴러,2019,3,4.87
149,151,20156564,부산행,11567318,2016-07-20,14,15세이상관람가,액션,2016,7,8.04
150,152,20177552,국가부도의 날,3755133,2018-11-28,1,12세이상관람가,드라마,2018,11,8.26
151,153,20197846,악질경찰,260989,2019-03-20,13,청소년관람불가,범죄,2019,3,6.05
152,154,20166301,썬키스 패밀리,31283,2019-03-27,20,15세이상관람가,가족,2019,3,6.86
153,155,20177539,사바하,2398348,2019-02-20,5,15세이상관람가,미스터리,2019,2,7.28
154,156,20186324,언더독,193837,2019-01-16,4,전체관람가,애니메이션,2019,1,9.39
155,157,20176442,자전차왕 엄복동,168884,2019-02-27,68,12세이상관람가,드라마,2019,2,4.05
156,158,20185478,극장판 헬로카봇: 옴파로스 섬의 비밀,574302,2019-01-31,12,전체관람가,애니메이션,2019,1,8.74
157,159,20174169,기묘한 가족,262920,2019-02-13,9,12세이상관람가,코미디,2019,2,5.78
158,160,20186202,신과함께-인과 연,12276115,2018-08-01,2,12세이상관람가,판타지,2018,8,7.72
159,161,19970033,낮은 목소리 2,119,1997-08-22,1,연소자관람가,다큐멘터리,1997,8,8.83
160,162,20166602,그대 이름은 장미,86838,2019-01-16,2,12세이상관람가,코미디,2019,1,7.77
161,163,20180868,뺑반,1826154,2019-01-30,9,15세이상관람가,범죄,2019,1,6.57
162,164,20101003,혈투,44462,2011-02-24,1,15세이상관람가,액션,2011,2,5.25
