,Unnamed: 0,Code,Movie,Audience,Screen,genres,AgeRate,month,year,four_month,year_cat,Point,마동석,황정민,정만식,박성웅,라미란,송강호,오달수,성동일,조진웅,김희원
96,96,20185161,나를 찾아줘,642.367,101,스릴러,청소년관람가,11,2019,4,34,7.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,97,20176251,내안의 그놈,1917.999,1,판타지,청소년관람가,1,2019,1,34,8.54,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
98,98,20184621,엑시트,9425.492,2,코미디,청소년관람가,7,2019,3,34,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,99,20194621,아직 사랑하고 있습니까?,1.216,34,코미디,18세이상관람가,12,2019,1,34,7.67,,,,,,,,,,
100,100,20181434,신의 한 수: 귀수편,2155.013,10,범죄,청소년관람가,11,2019,4,34,7.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
101,101,20184341,얼굴없는 보스,23.451,16,액션,청소년관람가,11,2019,4,34,3.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,102,20199435,몬테크리스토,1.661,9,뮤지컬,청소년관람가,11,2019,4,34,9.5,,,,,,,,,,
103,103,20184462,봉오동 전투,4784.7029999999995,2,사극,청소년관람가,8,2019,3,34,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,104,20195920,가장 보통의 연애,2923.009,13,멜로/로맨스,청소년관람가,10,2019,4,34,7.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,105,20140703,장수상회,1166.729,1,멜로/로맨스,청소년관람가,4,2015,2,30,8.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
106,106,20174142,아이 캔 스피크,3283.073,3,코미디,청소년관람가,9,2017,4,32,9.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
