,Code,Movie,Audience,Screen,genres,AgeRate,month,year,four_month,year_cat
383,20145507,검사외전,9706.777,4,범죄,청소년관람가,2,2016,1,31
384,20148048,베테랑,13414.136,1,액션,청소년관람가,8,2015,3,30
385,20148841,헬머니,523.494,1,코미디,18세이상관람가,3,2015,2,30
386,20161722,히야,21.500999999999998,16,드라마,청소년관람가,3,2016,2,31
387,20150977,좋아해줘,847.9119999999997,24,멜로/로맨스,청소년관람가,2,2016,1,31
388,20151021,순정,239.36599999999999,3,드라마,청소년관람가,2,2016,1,31
389,20145171,대호,1762.569,1,사극,청소년관람가,12,2015,1,30
390,20152541,무수단,12.952,228,미스터리,청소년관람가,3,2016,2,31
391,20150903,번개맨,68.734,8,판타지,전체관람가,2,2016,1,31
392,20157466,"로봇, 소리",475.62199999999996,49,드라마,청소년관람가,1,2016,1,31
393,20150025,내부자들: 디 오리지널,2082.913,39,범죄,18세이상관람가,12,2015,1,30
394,20068576,그날의 분위기,651.612,17,멜로/로맨스,청소년관람가,1,2016,1,31
395,20142641,나를 잊지 말아요,427.19,6,멜로/로맨스,청소년관람가,1,2016,1,31
396,20144442,조선마술사,627.379,53,드라마,청소년관람가,12,2015,1,30
397,20152370,잡아야 산다,54.27,24,코미디,청소년관람가,1,2016,1,31
399,20156748,열정같은소리하고있네,654.4069999999998,1,드라마,청소년관람가,11,2015,4,30
400,20149299,파일 : 4022일의 사육,1.286,4,미스터리,18세이상관람가,12,2015,1,30
401,20149266,차이나타운,1472.102,1,범죄,18세이상관람가,4,2015,2,30
402,20147130,타투,11.866,3,스릴러,18세이상관람가,12,2015,1,30
403,20156557,탐정 : 더 비기닝,2625.6859999999997,2,코미디,청소년관람가,9,2015,4,30
404,20157176,오디세오,0.862,1,공연,전체관람가,10,2015,4,30
405,20140144,도리화가,316.31,35,사극,청소년관람가,11,2015,4,30
406,20159002,서태지밴드 콘서트투어 '콰이어트나이트',5.3610000000000015,6,공연,전체관람가,11,2015,4,30
408,20158682,꾸루꾸루와 친구들: 무지개 나무의 비밀,6.7360000000000015,9,애니메이션,전체관람가,11,2015,4,30
409,20143513,미쓰 와이프,988.3910000000001,2,코미디,청소년관람가,8,2015,3,30
410,20148851,암살,12704.656,6,액션,청소년관람가,7,2015,3,30
411,20145501,돌연변이,100.49799999999999,7,드라마,청소년관람가,10,2015,4,30
412,20157465,그놈이다,1045.218,35,스릴러,청소년관람가,10,2015,4,30
413,20157464,더 폰,1593.592,7,스릴러,청소년관람가,10,2015,4,30
414,20142855,성난 변호사,1127.747,21,범죄,청소년관람가,10,2015,4,30
415,20149961,미안해 사랑해 고마워,50.57100000000001,5,드라마,청소년관람가,10,2015,4,30
