,Unnamed: 0,Code,Movie,Audience,Screen,genres,AgeRate,month,year,four_month,year_cat,Point,Top10배우,Age_Rate
90,90,20187322,"힘을 내요, 미스터 리",1181.96,5,코미디,청소년관람가,9,2019,4,34,7.6,0,2
91,91,20194045,극장판 반지의 비밀일기,68.339,4,애니메이션,전체관람가,9,2019,4,34,9.06,0,1
92,92,20184483,퍼펙트맨,1240.022,4,코미디,청소년관람가,10,2019,4,34,7.96,1,2
93,93,20190385,웃는남자 감독판,12.82,1,공연,전체관람가,11,2019,4,34,9.5,0,1
94,94,20188462,감쪽같은 그녀,469.015,7,드라마,전체관람가,12,2019,1,34,7.61,0,1
95,95,20193601,장사리 : 잊혀진 영웅들,1140.708,3,전쟁,청소년관람가,9,2019,4,34,8.37,0,2
96,96,20185161,나를 찾아줘,642.367,101,스릴러,청소년관람가,11,2019,4,34,7.27,0,2
97,97,20176251,내안의 그놈,1917.999,1,판타지,청소년관람가,1,2019,1,34,8.54,1,2
98,98,20184621,엑시트,9425.492,2,코미디,청소년관람가,7,2019,3,34,8.38,0,2
99,99,20194621,아직 사랑하고 있습니까?,1.216,34,코미디,18세이상관람가,12,2019,1,34,7.67,0,0
100,100,20181434,신의 한 수: 귀수편,2155.013,10,범죄,청소년관람가,11,2019,4,34,7.99,1,2
101,101,20184341,얼굴없는 보스,23.451,16,액션,청소년관람가,11,2019,4,34,3.44,0,2
102,102,20199435,몬테크리스토,1.661,9,뮤지컬,청소년관람가,11,2019,4,34,9.5,0,2
103,103,20184462,봉오동 전투,4784.703,2,사극,청소년관람가,8,2019,3,34,7.84,0,2
104,104,20195920,가장 보통의 연애,2923.009,13,멜로/로맨스,청소년관람가,10,2019,4,34,7.96,0,2
105,105,20140703,장수상회,1166.729,1,멜로/로맨스,청소년관람가,4,2015,2,30,8.87,1,2
106,106,20174142,아이 캔 스피크,3283.073,3,코미디,청소년관람가,9,2017,4,32,9.35,0,2
107,107,20188750,나쁜 녀석들: 더 무비,4573.353,3,범죄,청소년관람가,9,2019,4,34,6.6,1,2
108,108,20185361,두번할까요,175.567,7,코미디,청소년관람가,10,2019,4,34,5.49,1,2
109,109,20184105,말모이,2866.453,1,드라마,청소년관람가,1,2019,1,34,9.05,0,2
112,112,20186707,오늘도 위위,1.114,40,드라마,전체관람가,10,2019,4,34,9.4,0,1
113,113,20194456,양자물리학,552.187,33,범죄,청소년관람가,9,2019,4,34,8.44,0,2
114,114,20185784,나의 특별한 형제,1476.777,1,드라마,청소년관람가,5,2019,2,34,8.94,0,2
115,115,20184572,타짜: 원 아이드 잭,2227.543,69,범죄,18세이상관람가,9,2019,4,34,5.46,0,0
116,116,20184543,변신,1803.112,5,공포(호러),청소년관람가,8,2019,3,34,7.1,1,2
117,117,20182585,비스트,203.042,5,범죄,청소년관람가,6,2019,3,34,6.05,0,2
118,118,20181416,유열의 음악앨범,1240.975,105,멜로/로맨스,청소년관람가,8,2019,3,34,6.2,0,2
119,119,20185985,광대들: 풍문조작단,632.384,199,사극,청소년관람가,8,2019,3,34,6.15,1,2
121,121,20182490,나랏말싸미,954.88,3,사극,전체관람가,7,2019,3,34,3.53,1,1
122,122,20193642,캐리tv 러브콘서트 더 무비,29.091,22,공연,전체관람가,8,2019,3,34,8.11,0,1
123,123,20188404,암전,101.366,36,미스터리,청소년관람가,8,2019,3,34,5.44,0,2
124,124,20180442,사자,1602.046,213,미스터리,청소년관람가,7,2019,3,34,7.25,0,2
125,125,20194044,공포체험단 곤지암편,3.282,11,공포(호러),청소년관람가,7,2019,3,34,6.4,0,2
126,126,20185353,기방도령,284.283,5,코미디,청소년관람가,7,2019,3,34,5.99,0,2
127,127,20193013,극장판 샤이닝스타:새로운 루나퀸의 탄생!,15.703,6,애니메이션,전체관람가,7,2019,3,34,9.12,0,1
128,128,20185986,진범,166.838,38,스릴러,청소년관람가,7,2019,3,34,7.43,0,2
129,129,20198453,롱 리브 더 킹: 목포 영웅,1092.611,7,액션,청소년관람가,6,2019,3,34,7.86,1,2
130,130,20188941,악인전,3364.1,6,범죄,18세이상관람가,5,2019,2,34,8.09,1,0
132,132,20187981,배심원들,287.902,1,드라마,청소년관람가,5,2019,2,34,8.99,0,2
134,134,20180361,귀신의 향기,0.5429999999999999,17,공포(호러),청소년관람가,7,2019,3,34,5.96,0,2
135,135,20184082,걸캅스,1627.524,9,코미디,청소년관람가,5,2019,2,34,5.63,1,2
136,136,20199448,어린 의뢰인,199.375,6,드라마,청소년관람가,5,2019,2,34,9.07,0,2
137,137,20151229,더 킹,5317.959,1,범죄,청소년관람가,1,2017,1,32,8.14,0,2
138,138,20188144,0.0MHz,136.939,26,공포(호러),청소년관람가,5,2019,2,34,5.6,0,2
139,139,20191744,노리개: 그녀의 눈물,2.287,50,드라마,청소년관람가,6,2019,3,34,7.37,1,2
140,140,20198982,크게 될 놈,102.374,2,드라마,청소년관람가,4,2019,2,34,9.18,0,2
142,142,20180825,미성년,292.14,8,드라마,청소년관람가,4,2019,2,34,8.28,1,2
143,143,20175547,스윙키즈,1472.7020000000002,38,드라마,청소년관람가,12,2018,1,33,8.46,0,2
144,144,20182501,왓칭,55.083,6,공포(호러),청소년관람가,4,2019,2,34,6.82,0,2
145,145,20142406,탐정 홍길동: 사라진 마을,1430.96,1,드라마,청소년관람가,5,2016,2,31,7.91,0,2
147,147,20176103,돈,3388.756,20,범죄,청소년관람가,3,2019,2,34,7.64,1,2
148,148,20175407,우상,183.74400000000003,2,스릴러,청소년관람가,3,2019,2,34,4.87,0,2
149,149,20156564,부산행,11567.318,14,액션,청소년관람가,7,2016,3,31,8.04,1,2
150,150,20177552,국가부도의 날,3755.133,1,드라마,청소년관람가,11,2018,4,33,8.26,0,2
151,151,20197846,악질경찰,260.98900000000003,13,범죄,18세이상관람가,3,2019,2,34,6.05,0,0
152,152,20166301,썬키스 패밀리,31.283,20,가족,청소년관람가,3,2019,2,34,6.86,0,2
153,153,20177539,사바하,2398.348,5,미스터리,청소년관람가,2,2019,1,34,7.28,1,2
154,154,20186324,언더독,193.837,4,애니메이션,전체관람가,1,2019,1,34,9.39,0,1
155,155,20176442,자전차왕 엄복동,168.884,68,드라마,청소년관람가,2,2019,1,34,4.05,1,2
156,156,20185478,극장판 헬로카봇: 옴파로스 섬의 비밀,574.302,12,애니메이션,전체관람가,1,2019,1,34,8.74,0,1
157,157,20174169,기묘한 가족,262.92,9,코미디,청소년관람가,2,2019,1,34,5.78,0,2
158,158,20186202,신과함께-인과 연,12276.115,2,판타지,청소년관람가,8,2018,3,33,7.72,1,2
160,160,20166602,그대 이름은 장미,86.838,2,코미디,청소년관람가,1,2019,1,34,7.77,1,2
161,161,20180868,뺑반,1826.154,9,범죄,청소년관람가,1,2019,1,34,6.57,0,2
163,163,20185124,러브 유어셀프 인 서울,342.366,48,공연,전체관람가,1,2019,1,34,9.26,0,1
164,164,20183915,극장판 공룡메카드: 타이니소어의 섬,408.822,17,애니메이션,전체관람가,1,2019,1,34,9.18,0,1
165,165,20170658,PMC: 더 벙커,1670.859,5,액션,청소년관람가,12,2018,1,33,5.43,0,2
166,166,20183785,점박이 한반도의 공룡2 : 새로운 낙원,548.661,10,애니메이션,전체관람가,12,2018,1,33,9.19,1,1
167,167,20184187,언니,197.211,94,액션,18세이상관람가,1,2019,1,34,6.09,0,0
168,168,20168773,마약왕,1863.283,10,범죄,18세이상관람가,12,2018,1,33,6.63,1,0
169,169,20179230,도어락,1560.352,5,스릴러,청소년관람가,12,2018,1,33,6.57,0,2
170,170,20177538,완벽한 타인,5292.712,29,드라마,청소년관람가,10,2018,4,33,8.76,1,2
171,171,20183745,런닝맨 : 풀룰루의 역습,186.064,36,애니메이션,전체관람가,12,2018,1,33,7.8,0,1
172,172,20183650,번개맨의 비밀,49.367,113,가족,전체관람가,12,2018,1,33,9.0,0,1
173,173,20184481,성난황소,1590.591,98,범죄,청소년관람가,11,2018,4,33,7.91,1,2
174,174,20184529,트와이스랜드,17.823,10,다큐멘터리,전체관람가,12,2018,1,33,9.16,0,1
175,175,20182981,리벤져,2.322,45,액션,청소년관람가,12,2018,1,33,5.1,0,2
176,176,20183050,번 더 스테이지: 더 무비,312.584,57,기타,전체관람가,11,2018,4,33,9.46,0,1
177,177,20181561,덕구,315.164,4,드라마,전체관람가,4,2018,2,33,9.53,0,1
178,178,20189869,해피 투게더,24.827,5,드라마,청소년관람가,11,2018,4,33,8.58,1,2
179,179,20173202,버닝,528.372,1,미스터리,18세이상관람가,5,2018,2,33,6.77,0,0
180,180,20170513,동네사람들,459.918,28,액션,청소년관람가,11,2018,4,33,6.61,1,2
181,181,20176122,안시성,5439.308000000001,1,사극,청소년관람가,9,2018,4,33,8.05,1,2
182,182,20189746,극장판 뽀잉: 슈퍼 변신의 비밀,40.892,3,애니메이션,전체관람가,9,2018,4,33,8.97,0,1
183,183,20179006,여곡성,66.455,40,공포(호러),청소년관람가,11,2018,4,33,5.19,0,2
184,184,20189067,미쓰백,721.183,6,드라마,청소년관람가,10,2018,4,33,9.17,0,2
185,185,20179189,암수살인,3786.412,63,범죄,청소년관람가,10,2018,4,33,8.33,0,2
188,188,20177308,협상,1967.721,4,범죄,청소년관람가,9,2018,4,33,7.86,0,2
189,189,20172469,허스토리,335.54,2,드라마,청소년관람가,6,2018,3,33,9.41,0,2
191,191,20184678,배반의 장미,40.208,57,코미디,청소년관람가,10,2018,4,33,6.68,0,2
192,192,20179101,공작,4974.34,1,드라마,청소년관람가,8,2018,3,33,6.85,1,2
193,193,20172204,명당,2084.319,4,사극,청소년관람가,9,2018,4,33,7.27,0,2
194,194,20167903,원더풀 고스트,448.316,9,코미디,청소년관람가,9,2018,4,33,7.26,1,2
195,195,20153446,너의 결혼식,2820.486,7,멜로/로맨스,청소년관람가,8,2018,3,33,8.68,0,2
196,196,20177537,상류사회,767.5889999999998,5,드라마,18세이상관람가,8,2018,3,33,4.31,1,0
197,197,20156554,물괴,719.9680000000002,90,액션,청소년관람가,9,2018,4,33,5.26,1,2
198,198,20170670,목격자,2522.729,64,스릴러,청소년관람가,8,2018,3,33,5.61,0,2
199,199,20188501,미친도시,1.992,2,드라마,청소년관람가,8,2018,3,33,8.0,0,2
200,200,20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,677.788,6,애니메이션,전체관람가,7,2018,3,33,8.76,0,1
201,201,20179383,독전,5063.62,1,범죄,청소년관람가,5,2018,2,33,7.75,1,2
202,202,20170942,인랑,897.255,5,SF,청소년관람가,7,2018,3,33,4.01,0,2
203,203,20185341,마녀,3188.969,1,미스터리,청소년관람가,6,2018,3,33,8.2,0,2
204,204,20178161,탐정: 리턴즈,3152.568,5,코미디,청소년관람가,6,2018,3,33,8.6,1,2
205,205,20174369,변산,489.619,3,드라마,청소년관람가,7,2018,3,33,7.93,0,2
206,206,20162442,청년경찰,5653.444,1,액션,청소년관람가,8,2017,3,32,8.59,1,2
207,207,20188042,독전: 익스텐디드 컷,136.885,53,범죄,청소년관람가,7,2018,3,33,7.52,1,2
208,208,20187682,해적왕 작스톰,4.434,63,애니메이션,전체관람가,7,2018,3,33,8.99,0,1
209,209,20180282,속닥속닥,217.326,10,공포(호러),청소년관람가,7,2018,3,33,5.83,0,2
210,210,20184101,여중생A,96.893,12,드라마,청소년관람가,6,2018,3,33,7.02,0,2
211,211,20170669,지금 만나러 갑니다,2601.857,15,멜로/로맨스,청소년관람가,3,2018,2,33,8.72,0,2
212,212,20159647,리얼,470.135,1,액션,18세이상관람가,6,2017,3,32,4.48,1,0
213,213,20186926,게이트-완결판,0.7709999999999999,5,범죄,청소년관람가,6,2018,3,33,3.64,0,2
214,214,20177005,레슬러,770.6310000000002,6,드라마,청소년관람가,5,2018,2,33,4.99,1,2
215,215,20189783,챔피언,1128.693,1,드라마,청소년관람가,5,2018,2,33,6.56,1,2
217,217,20181366,미니특공대X,99.971,1,애니메이션,전체관람가,3,2018,2,33,7.57,0,1
218,218,20173865,데자뷰,48.13399999999999,19,미스터리,청소년관람가,5,2018,2,33,6.16,0,2
219,219,20162869,택시운전사,12189.025,2,드라마,청소년관람가,8,2017,3,32,9.08,1,2
220,220,20151230,원라인,435.09,1,범죄,청소년관람가,3,2017,2,32,8.41,0,2
221,221,20177266,나를 기억해,140.7,2,미스터리,18세이상관람가,4,2018,2,33,6.84,1,0
222,222,20174602,노무현입니다,1855.489,1,다큐멘터리,청소년관람가,5,2017,2,32,8.96,0,2
223,223,20182221,스파키,35.43199999999999,1,애니메이션,전체관람가,4,2018,2,33,8.88,0,1
224,224,20153447,바람 바람 바람,1194.157,6,코미디,18세이상관람가,4,2018,2,33,6.6,0,0
225,225,20182021,번개맨과 신비의 섬,60.535,9,가족,전체관람가,4,2018,2,33,9.44,0,1
226,226,20175046,파파 오랑후탄,1.4469999999999998,3,다큐멘터리,청소년관람가,4,2018,2,33,8.94,0,2
227,227,20165045,머니백,53.51600000000001,5,액션,청소년관람가,4,2018,2,33,6.78,0,2
228,228,20150976,신과함께-죄와 벌,14410.754,1,판타지,청소년관람가,12,2017,1,32,7.98,1,2
229,229,20154908,7년의 밤,526.88,12,스릴러,청소년관람가,3,2018,2,33,5.93,0,2
230,230,20168323,염력,990.102,18,드라마,청소년관람가,1,2018,1,33,5.17,0,2
231,231,20150969,궁합,1339.68,1,코미디,청소년관람가,2,2018,1,33,7.0,0,2
232,232,20178781,사라진 밤,1314.308,126,스릴러,청소년관람가,3,2018,2,33,7.17,0,2
233,233,20172244,치즈인더트랩,228.413,62,멜로/로맨스,청소년관람가,3,2018,2,33,5.7,0,2
234,234,20189525,젝스키스 에이틴,50.038,3,다큐멘터리,전체관람가,1,2018,1,33,9.28,0,1
235,235,20189663,게이트,99.731,20,범죄,청소년관람가,2,2018,1,33,4.21,0,2
236,236,20168250,골든슬럼버,1386.882,13,범죄,청소년관람가,2,2018,1,33,5.74,0,2
237,237,20177473,비밥바룰라,45.779,1,코미디,청소년관람가,1,2018,1,33,9.09,0,2
238,238,20176121,흥부: 글로 세상을 바꾼 자,416.137,7,사극,청소년관람가,2,2018,1,33,4.41,0,2
239,239,20179205,조선명탐정: 흡혈괴마의 비밀,2443.282,8,사극,청소년관람가,2,2018,1,33,7.0,1,2
240,240,20181741,예스 평창!,0.595,1,다큐멘터리,전체관람가,3,2018,2,33,7.5,0,1
241,241,20176104,그것만이 내 세상,3415.953,4,코미디,청소년관람가,1,2018,1,33,8.94,0,2
242,242,20170590,1987,7229.281,62,드라마,청소년관람가,12,2017,1,32,9.26,1,2
243,243,20189761,터닝메카드W: 반다인의 비밀 특별판,21.22,30,애니메이션,전체관람가,2,2018,1,33,6.41,0,1
244,244,20174846,뽀로로 극장판 공룡섬 대모험,826.003,2,애니메이션,전체관람가,12,2017,1,32,9.17,0,1
245,245,20168161,1급기밀,217.956,20,드라마,청소년관람가,1,2018,1,33,8.86,0,2
246,246,20161681,미옥,239.987,3,범죄,18세이상관람가,11,2017,4,32,5.07,0,0
247,247,20170402,강철비,4449.854,37,액션,청소년관람가,12,2017,1,32,8.43,0,2
248,248,20175830,돌아와요 부산항애(愛),5.824,82,범죄,청소년관람가,1,2018,1,33,5.44,0,2
